c1_m1;c1_m2;c1_m3;c2_m1;c2_m2;c2_m3;aspiracjaK;aspiracjaR;sredniKoszt;ryzyko;Rozwi¹zanie
0;647;453;438;106;656;89437;1591.23;90283;1725.53;-0.06199763997639784
0;629;471;433;116;651;89937;1591.23;90526.7;1685.18;-0.04332494260891527
0;618;482;422;130;648;90437;1591.23;90772.6;1644.58;-0.0246032836690181
0;609;491;410;145;645;90937;1591.23;91018.2;1604.24;-0.005997946576846792
0;499;601;467;119;614;91437;1591.23;91436.5;1590.81;1.928027266400499e-008
0;455;645;497;132;571;91937;1591.23;91933.5;1590.24;4.54562168770386e-008
0;417;683;518;149;533;92437;1591.23;92435.1;1589.51;7.931129437852421e-008
0;397;703;517;162;521;92937;1591.23;92737.9;1558.94;1.458965087895245e-006
0;385;715;508;185;507;93437;1591.23;93116;1492.94;2.352827809821033e-006
0;367;733;496;220;484;93937;1591.23;93691.9;1396.52;1.79647444723288e-006
0;347;753;481;260;459;94437;1591.23;94344.8;1284.47;6.766007722152846e-007
0;342;758;478;276;446;94937;1591.23;94591;1246.64;2.535967057577371e-006
0;321;779;462;319;419;95437;1591.23;95289.9;1127.23;1.07921941061619e-006
0;313;787;457;334;409;95937;1591.23;95538.7;1086.92;2.919815062101284e-006
0;291;809;441;379;380;96437;1591.23;96271.2;966.176;1.216339786430594e-006
0;291;809;441;379;380;96937;1591.23;96271.2;966.176;4.880331872603444e-006
0;258;842;418;445;337;97437;1591.23;97350.8;792.958;6.333614265672873e-007
0;251;849;399;479;322;97937;1591.23;97833.9;694.108;7.572287173685934e-007
0;238;862;387;510;303;98437;1591.23;98323.6;619.241;8.333216567705455e-007
0;243;857;380;556;264;98937;1591.23;98911.3;551.581;1.905484547268606e-007
0;224;876;346;584;270;99437;1591.23;99367.8;501.909;5.09811418882882e-007
0;793;307;480;22;698;85937;1691.23;88268.6;2062.34;-0.171141044916308
0;777;323;474;33;693;86437;1691.23;88512;2020.87;-0.1520642736236938
0;763;337;466;45;689;86937;1691.23;88753.7;1980.14;-0.1332316583760739
0;747;353;460;56;684;87437;1691.23;88997;1938.96;-0.1143258012007709
0;731;369;453;67;680;87937;1691.23;89239.1;1898.33;-0.0955062814414719
0;713;387;448;77;675;88437;1691.23;89482.8;1857.56;-0.07670524222324947
0;693;407;445;86;669;88937;1691.23;89728.2;1817.08;-0.05803737687833134
0;671;429;443;94;663;89437;1691.23;89974;1776.52;-0.03935222568734068
